phase,complex_id,ligand_id,cu_id,E_complex_Eh,E_ligand_Eh,E_cu_Eh,BE_kcal_mol,source_complex,source_ligand,source_cu
smd,cu_phenol_pi,phenol,cu_ion,-1947.749474504219,-307.389693566008,-1640.276595129771,-52.19988289846233,/home/runner/workspace/results_pod/results/cu_phenol_pi_smd_sp.out,/home/runner/workspace/results_pod/results/phenol_smd_sp.out,/home/runner/workspace/results_pod/results/cu_ion_smd_sp.out
smd,cu_guaiacol_phenolicO,guaiacol,cu_ion,-2062.24399342338,-421.954641717134,-1640.276595129771,-8.004872593653275,/home/runner/workspace/results_pod/results/cu_guaiacol_phenolicO_smd_sp.out,/home/runner/workspace/results_pod/results/guaiacol_smd_sp.out,/home/runner/workspace/results_pod/results/cu_ion_smd_sp.out
smd,cu_guaiacol_methoxyO,guaiacol,cu_ion,-2062.264613997395,-421.954641717134,-1640.276595129771,-20.94447814743642,/home/runner/workspace/results_pod/results/cu_guaiacol_methoxyO_smd_sp.out,/home/runner/workspace/results_pod/results/guaiacol_smd_sp.out,/home/runner/workspace/results_pod/results/cu_ion_smd_sp.out
smd,cu_guaiacol_pi,guaiacol,cu_ion,-2062.2766303891,-421.954641717134,-1640.276595129771,-28.484877785585503,/home/runner/workspace/results_pod/results/cu_guaiacol_pi_smd_sp.out,/home/runner/workspace/results_pod/results/guaiacol_smd_sp.out,/home/runner/workspace/results_pod/results/cu_ion_smd_sp.out
smd,cu_galacturonateH_complex,galacturonate_neutral,cu_ion,-1944.61832412429,-304.305513597833,-1640.276595129771,-22.725504525117554,/home/runner/workspace/results_pod/results/cu_galacturonateH_complex_smd_sp.out,/home/runner/workspace/results_pod/results/galacturonate_neutral_smd_sp.out,/home/runner/workspace/results_pod/results/cu_ion_smd_sp.out
smd,cu_galacturonate_anion_complex,galacturonate_anion,cu_ion,-1944.183696368608,-303.846686201136,-1640.276595129771,-37.911008529430454,/home/runner/workspace/results_pod/results/cu_galacturonate_anion_complex_smd_sp.out,/home/runner/workspace/results_pod/results/galacturonate_anion_smd_sp.out,/home/runner/workspace/results_pod/results/cu_ion_smd_sp.out
smd,cu_benzene_pi,benzene,cu_ion,-1872.518170078107,-232.203520456474,-1640.276595129771,-23.879554171588893,/home/runner/workspace/results/tier_a/cu_benzene_pi_smd.out,/home/runner/workspace/results_pod/results/benzene_smd.out,/home/runner/workspace/results_pod/results/cu_ion_smd_sp.out
smd,cu_anisole_pi,anisole,cu_ion,-1987.042745057443,-346.722414271535,-1640.276595129771,-27.44453857754847,/home/runner/workspace/results/tier_a/cu_anisole_pi_smd.out,/home/runner/workspace/results_pod/results/anisole_smd.out,/home/runner/workspace/results_pod/results/cu_ion_smd_sp.out
smd,cu_anisole_methoxyO,anisole,cu_ion,-1987.031747685019,-346.722414271535,-1640.276595129771,-20.543583192337117,/home/runner/workspace/results/tier_a/cu_anisole_methoxyO_smd.out,/home/runner/workspace/results_pod/results/anisole_smd.out,/home/runner/workspace/results_pod/results/cu_ion_smd_sp.out
smd,cu_catechol_pi,catechol,cu_ion,-2022.990985522653,-382.669645863505,-1640.276595129771,-28.0776160938094,/home/runner/workspace/results/tier_a/cu_catechol_pi_smd.out,/home/runner/workspace/results/tier_a/catechol_smd.out,/home/runner/workspace/results_pod/results/cu_ion_smd_sp.out
smd,cu_catechol_bidentate,catechol,cu_ion,-2022.971157057666,-382.669645863505,-1640.276595129771,-15.63506645939317,/home/runner/workspace/results/tier_a/cu_catechol_bidentate_smd.out,/home/runner/workspace/results/tier_a/catechol_smd.out,/home/runner/workspace/results_pod/results/cu_ion_smd_sp.out
smd,cu_cyclohexanol_O,cyclohexanol,cu_ion,-1951.368932170903,-311.048927559698,-1640.276595129771,-27.239860861313815,/home/runner/workspace/results/tier_a/cu_cyclohexanol_O_smd.out,/home/runner/workspace/results_pod/results_tiera/cyclohexanol_smd.out,/home/runner/workspace/results_pod/results/cu_ion_smd_sp.out
smd,cu_meta_methoxyphenol_pi,meta_methoxyphenol,cu_ion,-2062.277620930488,-421.957157857914,-1640.276595129771,-27.52754971376634,/home/runner/workspace/results/tier_a/cu_meta_methoxyphenol_pi_smd.out,/home/runner/workspace/results/tier_a/meta_methoxyphenol_smd.out,/home/runner/workspace/results_pod/results/cu_ion_smd_sp.out
smd,cu_meta_methoxyphenol_phenolicO,meta_methoxyphenol,cu_ion,-2062.225189413215,-421.957157857914,-1640.276595129771,5.373724111177767,/home/runner/workspace/results/tier_a/cu_meta_methoxyphenol_phenolicO_smd.out,/home/runner/workspace/results/tier_a/meta_methoxyphenol_smd.out,/home/runner/workspace/results_pod/results/cu_ion_smd_sp.out
smd,cu_para_methoxyphenol_pi,para_methoxyphenol,cu_ion,-2062.272834140743,-421.954290540616,-1640.276595129771,-26.32306256800477,/home/runner/workspace/results/tier_a/cu_para_methoxyphenol_pi_smd.out,/home/runner/workspace/results/tier_a/para_methoxyphenol_smd.out,/home/runner/workspace/results_pod/results/cu_ion_smd_sp.out
smd,cu_para_methoxyphenol_phenolicO,para_methoxyphenol,cu_ion,-2062.261677140382,-421.954290540616,-1640.276595129771,-19.321939140067563,/home/runner/workspace/results/tier_a/cu_para_methoxyphenol_phenolicO_smd.out,/home/runner/workspace/results/tier_a/para_methoxyphenol_smd.out,/home/runner/workspace/results_pod/results/cu_ion_smd_sp.out
