species_id,cluster,ligand,final_mode,BE_gas_kcal,BE_smd_kcal,Cu_O_top_A,Cu_C_top_A,Cu_I_top_A,Cu_centroid_A,I_Cu_I_angle_deg,n_imag,lowest_freq_cm1,n_atoms,raw_out_path,sha256,true_minimum,notes
cu2i2_guaiacol_phenolicO,Cu2I2 (rhombic),guaiacol,bidentate,-23.39,,2.0662;2.2289,,2.4818;4.087;2.5262;2.4678,,,0,,,,,yes,Set C Cu2I2
cu2i2_guaiacol_methoxyO,Cu2I2 (rhombic),guaiacol,O-monodentate,172.67,,3.1397;2.1252,,2.7649;2.6525;2.5044;2.5047,,,0,,,,,yes,nonphysical/high-energy anomaly (BE_gas=+172.67 kcal/mol); SCF/optimization artifact; excluded from chemical interpretation
cu2i2_guaiacol_pi,Cu2I2 (rhombic),guaiacol,detached,-15.53,,3.7472;4.5305,,2.6524;2.7752;2.5054;2.4927,2.5439,,0,,,,,yes,Set C Cu2I2
cu2i2_guaiacol_bidentate,Cu2I2 (rhombic),guaiacol,bidentate,-17.86,,2.2207;2.2589,,2.651;2.8009;2.5037;2.5038,,,0,,,,,yes,Set C Cu2I2
cui2_h2o_anion,[CuI2]-,h2o,2-coordinate,-10.43,-4.21,3.2868,,2.4704;2.4701,,174.03,0,,,,,yes,Set B [CuI2]-
cui2_methanol_anion,[CuI2]-,methanol,2-coordinate,-7.83,,4.1952,,2.4672;2.4678,,179.28,0,,,,,yes,Set B [CuI2]-
cui2_phenol_O_anion,[CuI2]-,phenol,2-coordinate,-11.56,,4.4751,,2.4643;2.4842,,178.82,0,,,,,yes,Set B [CuI2]-
cui2_phenol_pi_anion,[CuI2]-,phenol,2-coordinate,-5.67,,3.4515,,2.457;2.4603,,171.39,0,,,,,yes,Set B [CuI2]-
cui2_guaiacol_phenolicO_anion,[CuI2]-,guaiacol,2-coordinate,-5.37,,3.2071;5.4871,,2.5156;2.383,,178.04,0,,,,,yes,Set B [CuI2]-
cui2_guaiacol_methoxyO_anion,[CuI2]-,guaiacol,2-coordinate,173.15,,4.4292;3.0054,,2.5042;2.4765,,171.18,0,,,,,yes,Set B [CuI2]-
cui2_guaiacol_pi_anion,[CuI2]-,guaiacol,2-coordinate,-2.92,,4.2343;4.9269,,2.4919;2.4779,,174.34,0,,,,,yes,Set B [CuI2]-
cui2_guaiacol_bidentate_anion,[CuI2]-,guaiacol,2+1 hemicoordinated,167.44,,3.1176;1.8467,,2.5914;2.5515,,154.5,0,,,,,yes,Set B [CuI2]-
cui_monomer,CuI / Cu2I2 (Tier B),,reference,N/A (reference),,,,,,,0,,,,,yes,CuI monomer reference
cui_methanol_O,CuI / Cu2I2 (Tier B),methanol,O-mono,-25.76,,,,,,,1,,,,,no,BORDERLINE_SADDLE (1 soft mode)
cui_phenol_O,CuI / Cu2I2 (Tier B),phenol,phenolicO,-50.72,,,,,,,2,,,,,no,SADDLE (n_imag=2); BE is upper bound
cui_phenol_pi,CuI / Cu2I2 (Tier B),phenol,pi,-56.69,,,,,,,0,,,,,yes,TRUE_MIN; CuI pi-preferred over O
cui_guaiacol_ph,CuI / Cu2I2 (Tier B),guaiacol,phenolicO,-25.3,,,,,,,0,,,,,yes,TRUE_MIN
cui_guaiacol_methoxyO,CuI / Cu2I2 (Tier B),guaiacol,methoxyO,-14.23,,,,,,,0,,,,,yes,TRUE_MIN; v9.1 job completed 2026-04-27
cu2i2_rhombic,CuI / Cu2I2 (Tier B),,Cu2I2-rhombic,-51.9,,,,,,,0,,,,,yes,TRUE_MIN; dimerization BE vs 2xCuI_monomer
cu2i2_linear,CuI / Cu2I2 (Tier B),,Cu2I2-linear,-16.37,,,,,,,2,,,,,no,SADDLE (n_imag=2); 35.5 kcal/mol less stable than rhombic
cu2i2_linear_atom53,CuI / Cu2I2 (Tier B),,I-atom-ref,N/A (reference atom),,,,,,,0,,,,,yes,Single I-atom SP at Cu2I2_linear geometry; used for atom53 correction
cu2i2_rhombic_atom53,CuI / Cu2I2 (Tier B),,I-atom-ref,N/A (reference atom),,,,,,,0,,,,,yes,Single I-atom SP at Cu2I2_rhombic geometry
cui_monomer_atom53,CuI / Cu2I2 (Tier B),,Cu-atom-ref,N/A (reference atom),,,,,,,0,,,,,yes,Single Cu/I-atom SP at CuI_monomer geometry
cui_methanol_O_atom53,CuI / Cu2I2 (Tier B),methanol,O-mono-atom-ref,N/A (reference atom),,,,,,,0,,,,,yes,Single atom SP; used for atom53 correction on CuI-methanol complex
cui_phenol_O_atom53,CuI / Cu2I2 (Tier B),phenol,phenolicO-atom-ref,N/A (reference atom),,,,,,,0,,,,,yes,Single atom SP at CuI-phenol-O geometry
cui_phenol_pi_atom53,CuI / Cu2I2 (Tier B),phenol,pi-atom-ref,N/A (reference atom),,,,,,,0,,,,,yes,Single atom SP at CuI-phenol-pi geometry
cui_guaiacol_phenolicO_atom53,CuI / Cu2I2 (Tier B),guaiacol,phenolicO-atom-ref,N/A (reference atom),,,,,,,0,,,,,yes,Single atom SP at CuI-guaiacol geometry
cu2i2_veratrole_methoxyO_startA,Cu2I2 (rhombic),veratrole,"kappa2-O,O bidentate",-26.82,-26.24,2.203;2.203;4.317,2.999;2.999;3.128,,,113.8;135.3,0,12.41,24,DATA_LOST_POD_WIPE 2026-04-30T11:02Z (.out gone; coords/freqs in setD_alt_v2_analysis.json),see audit_final_setD_alt_diag/setD_alt_v2_analysis.json,yes,Task #29 V2 follow-up; final coords archived in setD_alt_v2_analysis.json
cu2i2_veratrole_methoxyO_startB,Cu2I2 (rhombic),veratrole,rotamer/contact,28.07,22.73,2.642;3.328;3.998,1.930;2.744;2.873,,,96.8;163.2,0,22.02,24,DATA_LOST_POD_WIPE 2026-04-30T11:02Z (.out gone; coords/freqs in setD_alt_v2_analysis.json),see audit_final_setD_alt_diag/setD_alt_v2_analysis.json,yes,Task #29 V2 follow-up; final coords archived in setD_alt_v2_analysis.json
cui2_veratrole_methoxyO_anion_startA,[CuI2]-,veratrole,rotamer/contact,49.28,53.60,3.697;5.364,3.214;3.538;3.925,,,173.2,0,22.58,23,DATA_LOST_POD_WIPE 2026-04-30T11:02Z (.out gone; coords/freqs in setD_alt_v2_analysis.json),see audit_final_setD_alt_diag/setD_alt_v2_analysis.json,yes,Task #29 V2 follow-up; final coords archived in setD_alt_v2_analysis.json
cui2_veratrole_methoxyO_anion_startB,[CuI2]-,veratrole,rotamer/contact,55.20,47.93,2.692;3.300,1.938;2.778;2.890,,,124.4,0,28.97,23,DATA_LOST_POD_WIPE 2026-04-30T11:02Z (.out gone; coords/freqs in setD_alt_v2_analysis.json),see audit_final_setD_alt_diag/setD_alt_v2_analysis.json,yes,Task #29 V2 follow-up; final coords archived in setD_alt_v2_analysis.json
cu2i2_rhombic,Cu2I2,(reference),rhombic,,,,,,,,0,,,,,yes,No imaginary frequencies
cu2i2_linear,Cu2I2,(reference),linear,,,,,,,,2,-66.63|-66.63,,,,no,2 imaginary modes
