stem,file_path,sha256,file_size_bytes,terminated_normally,calc_type,method_line,functional,basis,n_procs,charge,mult,n_atoms,final_energy_Eh,zpe_Eh,enthalpy_Eh,n_imaginary,n_opt_cycles
guaiacol_smd_sp,/home/runner/workspace/results_pod/results/guaiacol_smd_sp.out,e055a483db8ca24241ae2e7012c8dc5ed3ba152b23fde26e30240ad75a67175c,75167,True,SP,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF SP,B3LYP,def2-TZVP,,0,1,17,-421.954641717134,,,0,0
meta_methoxyphenol,/home/runner/workspace/results/tier_a/meta_methoxyphenol.out,f77bd3dc4783b8e23e6ddfbe2331466ed990c4625b1717d94a95214e135f72d5,407661,True,OptFreq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,B3LYP,def2-TZVP,,0,1,17,-421.946681656249,0.13667295,-421.8009682,0,7
meta_methoxyphenol_smd,/home/runner/workspace/results/tier_a/meta_methoxyphenol_smd.out,3bc466cd110fcc8af753d3c31f7e3362375efdf06ad9c0fa9b4f52dc87008e8f,75088,True,SP,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF SP SMD(water),B3LYP,def2-TZVP,,0,1,17,-421.957157857914,,,0,0
methanol_opt_freq,/home/runner/workspace/results_pod/results/methanol_opt_freq.out,5b45fd205ec414c396d76d1e2ee9a7cd73f73058f3078ddaa4a3319885094772,280353,True,OptFreq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,B3LYP,def2-TZVP,,0,1,6,-115.71268832755,0.05097957,-115.65740735,0,7
methanol_smd_sp,/home/runner/workspace/results_pod/results/methanol_smd_sp.out,51351ee51951af77cef1920eeb0884db7b263a427a279379fe31ac3aae6aaa54,59746,True,SP,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF SP,B3LYP,def2-TZVP,,0,1,6,-115.719645554346,,,0,0
para_methoxyphenol,/home/runner/workspace/results/tier_a/para_methoxyphenol.out,f3acdf577c712b8eef85b8da969bab0221b44fe9e58a2d02b0b1efab8937b5b6,1842690,True,OptFreq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,B3LYP,def2-TZVP,,0,1,17,-421.944151122207,0.13658927,-421.79847539,0,47
para_methoxyphenol_smd,/home/runner/workspace/results/tier_a/para_methoxyphenol_smd.out,1054b6eb5d33b12be785e6b2b2094e2cc3ea4fed76136787182f9f67f24cf3b0,75084,True,SP,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF SP SMD(water),B3LYP,def2-TZVP,,0,1,17,-421.954290540616,,,0,0
phenol_opt_freq,/home/runner/workspace/results_pod/results/phenol_opt_freq.out,c06d15b4fc3954863bcca727182b567602e128f2f99ff1033dccd89eec313663,328613,True,OptFreq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,B3LYP,def2-TZVP,,0,1,13,-307.382866914125,0.10150777,-307.27529025,2,6
phenol_smd_sp,/home/runner/workspace/results_pod/results/phenol_smd_sp.out,5d8eb81eeebcaa60981dbe7ffe769a2ec5a0cb09a17042ee696541829cb102b9,70015,True,SP,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF SP,B3LYP,def2-TZVP,,0,1,13,-307.389693566008,,,0,0
cu_benzene_pi_disp_plus,,9f84352c501223812e59a123c3d5559c75d6f36e9e1c1920d411b2454001eeeb,,True,DISP_REOPT_OPT_FREQ,,B3LYP-D3BJ,def2-TZVP,,1,1,13,-1872.423687014844,,,1,
cu_benzene_pi_disp_minus,,4a490285dbeefb09055af7f8f5c057f24e60d9fe72c7c0b55060d3f684249267,,True,DISP_REOPT_OPT_FREQ,,B3LYP-D3BJ,def2-TZVP,,1,1,13,-1872.423687029278,,,1,
cu_catechol_bidentate_disp_plus,,c834568e32f9587a17086511f382f4b83a8ed890fcf5663b8754275469b4a634,,True,DISP_REOPT_OPT_FREQ,,B3LYP-D3BJ,def2-TZVP,,1,1,15,-2022.844608666203,,,0,
cu_catechol_bidentate_disp_minus,,39291cc3544d2af690d16997bc13b9ca22786f9fa7fbcc2803cf9d89037731df,,True,DISP_REOPT_OPT_FREQ,,B3LYP-D3BJ,def2-TZVP,,1,1,15,-2022.844608612198,,,0,
cu_phenol_pi_disp_plus,,cc074657dfec5097eaf6f980fccfc551bd3627a2395922f83d60b35b2a3675e6,,True,DISP_REOPT_OPT_FREQ,,B3LYP-D3BJ,def2-TZVP,,1,1,14,-1947.64552003111,,,0,
cu_phenol_pi_disp_minus,,b5bde3742325978ecc65c0c070c882f750f7716752619f511710ea4dfffe1e63,,True,DISP_REOPT_OPT_FREQ,,B3LYP-D3BJ,def2-TZVP,,1,1,14,-1947.645527053407,,,0,
cui_methanol_O_disp_plus,,98ceb7fc730876db5cb320ba0efefe76c3f2d152a3578e0903f5e5a2e24ff18b,,True,DISP_REOPT_OPT_FREQ,,B3LYP-D3BJ,def2-TZVP,,0,1,8,-2053.968322369201,,,0,
cui_methanol_O_disp_minus,,3118af6ff0c554e1b3018198abde7a2d23d381fb21a5ae66b4c4625015a4de2b,,True,DISP_REOPT_OPT_FREQ,,B3LYP-D3BJ,def2-TZVP,,0,1,8,-2053.968322231186,,,0,
cu2i2_veratrole_pi_v2_opt_freq,/home/runner/workspace/cu-lignin-audit-v9/audit_final/cu2i2_veratrole_pi_v2_opt_freq/cu2i2_veratrole_pi_opt_freq_v2.out,3c76460b77de8f20cb4ad35619bab2b4e99b31778199cf061fd1bc0665063939,1292515,True,OptFreq,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF DefGrid3 Opt Freq,B3LYP,def2-TZVP,,0,1,8,-4337.780087732589,,,1,-15.82
cu2i2_veratrole_pi_v2_opt_freq_xyz,/home/runner/workspace/cu-lignin-audit-v9/audit_final/cu2i2_veratrole_pi_v2_opt_freq/cu2i2_veratrole_pi_opt_freq_v2.xyz,4ced395e8f07c80c34aa25d47bbf07a420466361a37f33a43510489cfa92d34d,1881,True,GeomFinal,,,,,0,1,8,,,,,
cu2i2_veratrole_pi_v2_opt_freq_hess,/home/runner/workspace/cu-lignin-audit-v9/audit_final/cu2i2_veratrole_pi_v2_opt_freq/cu2i2_veratrole_pi_opt_freq_v2.hess,791f831ca64f0cf78f6ac59636d5b5aa4b718b3726d557bf812e2f21eb50b8fc,233976,True,FreqHess,,,,,0,1,8,,,,1,-15.82
cu2i2_veratrole_pi_v2_opt_freq_gbw,/home/runner/workspace/cu-lignin-audit-v9/audit_final/cu2i2_veratrole_pi_v2_opt_freq/cu2i2_veratrole_pi_opt_freq_v2.gbw,50e5cb5c5985e8d16a293f8b489635862ca8b4e16394f397e111a57abd244b2d,3822212,True,Orbitals,,,,,0,1,8,,,,,
cu2i2_veratrole_pi_v2_smd_sp,/home/runner/workspace/cu-lignin-audit-v9/audit_final/cu2i2_veratrole_pi_v2_smd_sp/cu2i2_veratrole_pi_v2_smd_sp.out,37576f679f4e13c0312ff6a8695c26c05dfa011453ff64f7566e6d68e10f456f,88942,True,SP,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF SP CPCM(WATER) DefGrid3,B3LYP,def2-TZVP,SMD(Water),0,1,8,-4337.789112631746,,,0,
